clean_text,category,location,status,date
glasses,glasses,library,lost,2026-04-14 23:02:00
earbuds ronin,earbuds,library,lost,2026-04-20 14:50:00
wallet,wallet,ab2,lost,2026-02-16 18:06:00
airbuds,earbuds,library,found,2026-04-13 11:38:00
key 15,keys,block 5,lost,2026-04-08 10:02:00
phone iphone 15 pro 12,phone,block 3,lost,2026-02-16 13:36:00
black usb gb,usb,block 1,lost,2025-11-21 18:24:00
bag beige 14 12,bag,ab5,lost,2026-03-14 20:18:00
bag,bag,library,lost,2025-10-13 12:42:00
watch grey,watch,ab3,lost,2025-05-13 11:57:00
airbuds 11 white,earbuds,block 5,lost,2026-02-13 01:08:00
umbrella,umbrella,mosque,unknown,
id,id_card,ab3,lost,2025-02-26 12:33:00
wallet black,wallet,parking,lost,2025-10-28 10:05:00
black umbrella,umbrella,library,found,2025-05-08 15:23:00
black bottle,bottle,library,lost,2026-04-27 18:45:00
glasses,glasses,parking,lost,2025-04-29 10:17:00
hp,laptop,library,lost,2026-04-09 09:07:00
wallet black,wallet,ground,lost,2025-11-19 21:33:00
black umbrella,umbrella,library,lost,2025-11-17 20:29:00
watch,watch,cc,found,2026-03-04 11:39:00
id,id_card,garden,lost,2025-10-23 16:27:00
pink wallet,wallet,mosque,lost,2025-05-19 13:17:00
brown wallet,wallet,ab4,lost,2025-12-06 21:43:00
card,id_card,ab1,lost,2026-01-19 16:20:00
watch,watch,hostel,lost,2026-01-31 17:18:00
wallet black,wallet,ab3,lost,2025-05-08 12:10:00
airpods black,earbuds,ab5,lost,2025-09-29 19:35:00
hp,laptop,library,lost,2025-12-05 12:39:00
white glasses,glasses,library,found,2026-04-27 18:27:00
airpods white realme,earbuds,ab1,found,2025-09-19 12:58:00
airbuds white,earbuds,love garden,lost,2025-03-19 23:47:00
card,id_card,block 1,lost,2025-10-07 12:36:00
headphones black,other,library,lost,2025-12-10 16:59:00
black wallet,wallet,block 2,lost,2025-11-27 12:51:00
notebook,notebook,ab2,lost,2025-08-05 12:36:00
id,id_card,parking,lost,2026-02-26 20:51:00
iphone,phone,block 2,found,2025-05-02 11:51:00
black earbuds red,earbuds,cc,lost,2025-10-30 13:21:00
black notebook,notebook,ab3,lost,2025-11-01 12:56:00
watch,watch,cc,lost,2026-01-21 13:20:00
