clean_text,category,location,status,date
glasses,glasses,library,lost,14/04/2026 23:02
earbuds ronin,earbuds,library,lost,20/04/2026 14:50
wallet,wallet,ab2,lost,16/02/2026 18:06
airbuds,earbuds,library,found,13/04/2026 11:38
key 15,keys,block 5,lost,08/04/2026 10:02
phone iphone 15 pro 12,phone,block 3,lost,16/02/2026 13:36
black usb gb,usb,block 1,lost,21/11/2025 18:24
bag beige 14 12,bag,ab5,lost,14/03/2026 20:18
bag,bag,library,lost,13/10/2025 12:42
watch grey,watch,ab3,lost,13/05/2025 11:57
airbuds 11 white,earbuds,block 5,lost,13/02/2026 1:08
umbrella,umbrella,mosque,lost,14/02/2026 1:08
id,id_card,ab3,lost,26/02/2025 12:33
wallet black,wallet,parking,lost,28/10/2025 10:05
black umbrella,umbrella,library,found,08/05/2025 15:23
black bottle,bottle,library,lost,27/04/2026 18:45
glasses,glasses,parking,lost,29/04/2025 10:17
hp,laptop,library,lost,09/04/2026 9:07
wallet black,wallet,ground,lost,19/11/2025 21:33
black umbrella,umbrella,library,lost,17/11/2025 20:29
watch,watch,cc,found,04/03/2026 11:39
id,id_card,garden,lost,23/10/2025 16:27
pink wallet,wallet,mosque,lost,19/05/2025 13:17
brown wallet,wallet,ab4,lost,06/12/2025 21:43
card,id_card,ab1,lost,19/01/2026 16:20
watch,watch,hostel,lost,31/01/2026 17:18
wallet black,wallet,ab3,lost,08/05/2025 12:10
airpods black,earbuds,ab5,lost,29/09/2025 19:35
hp,laptop,library,lost,05/12/2025 12:39
white glasses,glasses,library,found,27/04/2026 18:27
airpods white realme,earbuds,ab1,found,19/09/2025 12:58
airbuds white,earbuds,love garden,lost,19/03/2025 23:47
card,id_card,block 1,lost,07/10/2025 12:36
headphones black,other,library,lost,10/12/2025 16:59
black wallet,wallet,block 2,lost,27/11/2025 12:51
notebook,notebook,ab2,lost,05/08/2025 12:36
id,id_card,parking,lost,26/02/2026 20:51
iphone,phone,block 2,found,02/05/2025 11:51
black earbuds red,earbuds,cc,lost,30/10/2025 13:21
black notebook,notebook,ab3,lost,01/11/2025 12:56
watch,watch,cc,lost,21/01/2026 13:20
earbuds white,earbuds,block 5,lost,29/10/2025 19:21
